"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC10: Verify subscription in home page","405","subscriptionInHomePage","Regression Suite","Sun Feb 01 12:32:19 UTC 2026","passed","Sun Feb 01 12:32:20 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInHomePage"
"TC9: Test search product","1673","searchProduct","Regression Suite","Sun Feb 01 12:32:14 UTC 2026","passed","Sun Feb 01 12:32:16 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","searchProduct"
"TC3: Test login user unsuccessfully with incorrect email and password","1389","loginUserUnsuccessfullyWithIncorrectEmailAndPassword","Regression Suite","Sun Feb 01 12:31:48 UTC 2026","passed","Sun Feb 01 12:31:49 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginUserUnsuccessfullyWithIncorrectEmailAndPassword"
"TC7: Test verify test cases page","640","verifyTestCasesPage","Regression Suite","Sun Feb 01 12:32:24 UTC 2026","passed","Sun Feb 01 12:32:25 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyTestCasesPage"
"TC5: Test register user with existing email","6941","registerUserWithExistingEmail","Regression Suite","Sun Feb 01 12:32:06 UTC 2026","passed","Sun Feb 01 12:32:13 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerUserWithExistingEmail"
"TC6: Test contact us form","2601","contactUsForm","Regression Suite","Sun Feb 01 12:31:35 UTC 2026","passed","Sun Feb 01 12:31:38 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","contactUsForm"
"TC12: Test add product in Cart","3084","addProductInCart","Regression Suite","Sun Feb 01 12:31:31 UTC 2026","passed","Sun Feb 01 12:31:34 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","addProductInCart"
"TC4: Test logout user successfully","6721","logoutUser","Regression Suite","Sun Feb 01 12:31:51 UTC 2026","passed","Sun Feb 01 12:31:57 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","logoutUser"
"TC11: Verify subscription in Cart page","778","subscriptionInCartPage","Regression Suite","Sun Feb 01 12:32:17 UTC 2026","passed","Sun Feb 01 12:32:18 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","subscriptionInCartPage"
"TC2: Test login user successfully with correct email and password","7850","loginSuccessfullyWithCorrectEmailAndPassword","Regression Suite","Sun Feb 01 12:31:39 UTC 2026","passed","Sun Feb 01 12:31:47 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","loginSuccessfullyWithCorrectEmailAndPassword"
"TC1: Test register user and delete user account successfully","5891","registerAndDeleteUserAccountSuccessfully","Regression Suite","Sun Feb 01 12:31:59 UTC 2026","passed","Sun Feb 01 12:32:05 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","registerAndDeleteUserAccountSuccessfully"
"TC8: Test verify all products and product detail page","1734","verifyAllProductAndProductDetailPage","Regression Suite","Sun Feb 01 12:32:21 UTC 2026","passed","Sun Feb 01 12:32:23 UTC 2026","com.huy.automationexercise.tests.TestCases","TestCases","com.huy.automationexercise.tests.TestCases","verifyAllProductAndProductDetailPage"
